all|all
retinal|retinal hemorrhage
retinal|retinal bleeding
retinal|retinal hemorrhages
thick|thick eyebrow
broad|broad bushy eyebrows
bushy|bushy eyebrows
dense|dense eyebrow
heavy|heavy eyebrows
hypertrichosis|hypertrichosis of the eyebrow
prominent|prominent eyebrows
thick|thick eyebrows
scotoma|scotoma
centrocecal|centrocecal scotoma
exotropia|exotropia
nasolacrimal|nasolacrimal duct obstruction
lacrimal|lacrimal duct obstruction
pigmentary|pigmentary retinopathy
blepharophimosis|blepharophimosis
narrow|narrow palpebral fissures
short|short palpebral fissure
short|short palpebral fissures
upslanted|upslanted palpebral fissure
mongoloid|mongoloid slant
upslanting|upslanting palpebral fissures
upward|upward slanted palpebral fissures
upward|upward slanting of palpebral fissures
upward|upward slanting palpebral fissures
punctate|punctate corneal epithelial erosions
band|band keratopathy
calcific|calcific band keratopathy
shallow|shallow orbits
small|small shallow orbits
abnormality|abnormality of the optic nerve
optic|optic nerve coloboma
coloboma|coloboma of optic nerve
optic|optic disk coloboma
coloboma|coloboma
ocular|ocular coloboma
ocular|ocular colobomas
progressive|progressive external ophthalmoplegia
external|external ophthalmoplegia, progressive (peo)
abnormality|abnormality of the sclera
blue|blue sclerae
blue|blue sclera
bluish|bluish sclerae
abnormality|abnormality of the anterior chamber
anterior|anterior chamber anomalies
ocular|ocular anterior chamber abnormality
shallow|shallow anterior chamber
ophthalmoparesis|ophthalmoparesis
extraocular|extraocular muscle palsy
extraocular|extraocular muscle paralysis
abnormality|abnormality of the ear
ear|ear anomaly
abnormality|abnormality of the frontal hairline
abnormality|abnormality of the pharynx
hypotelorism|hypotelorism
closely|closely spaced eyes
ocular|ocular hypotelorism
ophthalmoplegia|ophthalmoplegia
central|central scotoma
central|central scotomata
supranuclear|supranuclear gaze palsy
supranuclear|supranuclear gaze paralysis
abnormality|abnormality of the periorbital region
periorbital|periorbital wrinkles
excess|excess periorbital skin wrinkling
periorbital|periorbital wrinkling
macular|macular degeneration
pigmented|pigmented macular degeneration
optic|optic nerve hypoplasia
hypoplastic|hypoplastic optic nerves
abnormality|abnormality of the choroid
choroid|choroid coloboma
choroidal|choroidal coloboma
coloboma|coloboma of choroid 
iris|iris coloboma
coloboma|coloboma of iris
coloboma|coloboma of the iris
keyhole|keyhole iris
photophobia|photophobia
abnormality|abnormality of the nasolacrimal system
abnormality|abnormality of the pupil
pupillary|pupillary abnormalities
miosis|miosis
abnormality|abnormality of ocular smooth pursuit
abnormal|abnormal smooth pursuits
disrupted|disrupted ocular pursuit movements
impaired|impaired smooth pursuit ocular movements
irregular|irregular visual pursuit movements
blindness|blindness
impaired|impaired convergence
dacrocystitis|dacrocystitis
entropion|entropion
blurred|blurred vision
supranuclear|supranuclear ophthalmoplegia
cleft|cleft eyelid
eyelid|eyelid coloboma
notched|notched eyelid.
posterior|posterior embryotoxon
embryotoxon|embryotoxon
periorbital|periorbital fullness
periorbital|periorbital puffiness
abnormality|abnormality of retinal arteries
retinal|retinal arterial abnormality
retinal|retinal arterial tortuosity
lacrimation|lacrimation abnormality
decreased|decreased lacrimation
impaired|impaired ocular abduction
blue|blue irides
blue|blue eyes
upper|upper eyelid coloboma
upper|upper eyelid colobomas
long|long palpebral fissure
wide|wide palpebral fissures
nystagmus|nystagmus
gaze-evoked|gaze-evoked nystagmus
dysmetric|dysmetric saccades
red-green|red-green dyschromatopsia
dyschromatopsia|dyschromatopsia with red-green confusion
blepharospasm|blepharospasm
amblyopia|amblyopia
sclerocornea|sclerocornea
optic|optic atrophy
optic|optic nerve atrophy
optic-nerve|optic-nerve degeneration
abnormality|abnormality of vision evoked potentials
abnormal|abnormal visual evoked potential
abnormal|abnormal visual evoked potentials
abnormal|abnormal visual evoked responses
abnormal|abnormal visual-evoked potentials
vep|vep abnormalities
reduced|reduced amplitude of pattern visual evoked potentials
diplopia|diplopia
double|double vision
lower|lower eyelid coloboma
coloboma|coloboma of  lower eyelid
lower|lower lid coloboma
sparse|sparse eyelashes
partial|partial to total absence of eyelashes
scant|scant eyelashes
scant-absent|scant-absent eyelashes
scanty|scanty eyelashes
sparse/absent|sparse/absent eyebrows
sparse/absent|sparse/absent eyelashes
thin,|thin, sparse eyelashes
decreased|decreased electroretinogram (erg) amplitude
decreased|decreased amplitudes on flash visual electroretinogram
decreased|decreased electroretinogram
decreased|decreased electroretinogram response
flattened|flattened or absent electroretinogram
reduced|reduced electroretinogram
reduced|reduced electroretinogram (erg)
reduced|reduced or abolished electroretinogram
vitreoretinal|vitreoretinal degeneration
ectropion|ectropion
oculomotor|oculomotor apraxia
ocular|ocular motor apraxia
eyelid|eyelid apraxia
peters|peters anomaly
lipemia|lipemia retinalis
palpebral|palpebral fissure narrowing on adduction
night|night blindness
nyctalopia|nyctalopia
enophthalmos|enophthalmos
synophrys|synophrys
synophris|synophris
unibrow|unibrow
horizontal|horizontal nystagmus
nystagmus,|nystagmus, horizontal
phthisis|phthisis bulbi
hypodontia|hypodontia
carious|carious teeth
caries|caries
dental|dental caries
early|early dental caries
frequent|frequent caries
anodontia|anodontia
dental|dental agenesis
macrodontia|macrodontia of permanent maxillary central incisor
long|long maxillary central incisors
prominent|prominent upper incisors
prominent,|prominent, protruding upper incisors
abnormality|abnormality of the incisor
oligodontia|oligodontia
partial|partial anodontia
dental|dental crowding
crowded|crowded teeth
dental|dental overcrowding
taurodontia|taurodontia
taurodontism|taurodontism
delayed|delayed eruption of primary teeth
delayed|delayed eruption of deciduous teeth
delayed|delayed primary teeth eruption
abnormality|abnormality of dental enamel
abnormal|abnormal tooth enamel
enamel|enamel abnormalities
enamel|enamel abnormality
grayish|grayish enamel
greyish|greyish enamel
delayed|delayed eruption of teeth
delayed|delayed dental development
delayed|delayed dental eruption
delayed|delayed eruption
delayed|delayed teeth eruption
delayed|delayed tooth eruption
eruption,|eruption, delayed
late|late eruption of teeth
late|late tooth eruption
hypoplasia|hypoplasia of teeth
hypoplastic|hypoplastic teeth
widely|widely spaced teeth
multiple|multiple diastemata
wide-spaced|wide-spaced teeth
widely-spaced|widely-spaced teeth
dental|dental malocclusion
malocclusion|malocclusion
agenesis|agenesis of maxillary lateral incisor
absent|absent upper lateral incisors
microdontia|microdontia
small|small teeth
misalignment|misalignment of teeth
abnormal|abnormal dental position
abnormal|abnormal teeth spacing
abnormality|abnormality of teeth spacing
malaligned|malaligned teeth
malposition|malposition of teeth
malpositioned|malpositioned teeth
shell|shell teeth
natal|natal tooth
natal|natal teeth
neonatal|neonatal teeth
delayed|delayed eruption of permanent teeth
delayed|delayed eruption of secondary teeth
delayed|delayed permanent dentition
conical|conical teeth
diastema|diastema
periapical|periapical radiolucency
dentinogenesis|dentinogenesis imperfecta
periodontitis|periodontitis
amelogenesis|amelogenesis imperfecta
unerupted|unerupted tooth
abnormality|abnormality of the nervous system
neurologic|neurologic abnormalities
neurological|neurological abnormality
behavioural/psychiatric|behavioural/psychiatric abnormality
behavioral|behavioral changes
behavioral|behavioral disorders
behavioral|behavioral disturbances
behavioral|behavioral problems
behavioral/psychiatric|behavioral/psychiatric abnormalities
psychiatric|psychiatric disorders
psychiatric|psychiatric disturbances
psychosis|psychosis
hyperorality|hyperorality
hyperoralia|hyperoralia
restlessness|restlessness
emotional|emotional lability
emotional|emotional instability
agitation|agitation
depression|depression
autism|autism
aggressive|aggressive behavior
aggression|aggression
aggressive|aggressive behaviour
aggressiveness|aggressiveness
inappropriate|inappropriate behavior
mood|mood swings
lack|lack of spontaneous play
obsessive-compulsive|obsessive-compulsive disorder
obsessive|obsessive compulsive disorder
obsessive-compulsive|obsessive-compulsive behavior
restrictive|restrictive behavior
restrictive|restrictive behaviour
psychotic|psychotic episodes
dementia|dementia
dementia,|dementia, progressive
progressive|progressive dementia
frontal|frontal lobe dementia
impaired|impaired ability to form peer relationships
autism|autism spectrum disorder
pervasive|pervasive developmental disorder
inflexible|inflexible adherence to routines or rituals
stereotypic|stereotypic behavior
perseverative|perseverative behavior
stereotyped|stereotyped behavior
stereotyped,|stereotyped, repetitive behaviour
stereotypic|stereotypic behaviors
stereotypical|stereotypical motor behaviors
stereotypy|stereotypy
sterotyped|sterotyped behavior
disinhibition|disinhibition
impaired|impaired social interactions
impaired|impaired social interaction
poor|poor social interactions
short|short attention span
poor|poor attention span
irritability|irritability
hallucinations|hallucinations
hallucination|hallucination
anxiety|anxiety
anxiety|anxiety (with pheochromocytoma)
apathy|apathy
self-mutilation|self-mutilation
self|self mutilation
frontal|frontal release signs
frontal|frontal release reflexes
low|low frustration tolerance
lack|lack of motivation
delusions|delusions
inappropriate|inappropriate laughter
paroxysmal|paroxysmal bursts of laughter
paroxysmal|paroxysmal laughter
delayed|delayed speech and language development
deficiency|deficiency of speech development
delayed|delayed language development
delayed|delayed speech acquisition
delayed|delayed speech development
impaired|impaired speech and language development
impaired|impaired speech development
language|language delay
language|language delayed
language|language development deficit
late-onset|late-onset speech development
poor|poor language development
speech|speech and language delay
speech|speech and language difficulties
speech|speech delay
personality|personality changes
personality|personality change
hyperactivity|hyperactivity
hyperactive|hyperactive behavior
autism|autism with high cognitive abilities
agoraphobia|agoraphobia
lack|lack of insight
impaired|impaired use of nonverbal behaviors
impaired|impaired use of nonverbal behaviours
abnormality|abnormality of the peripheral nervous system
decreased|decreased nerve conduction velocity
abnormal|abnormal nerve conduction
decreased|decreased nerve conduction velocities (ncv)
delayed|delayed nerve conduction velocity
nerve|nerve conduction abnormalities
reduced|reduced nerve conduction velocities
slow|slow nerve conduction velocity
slowed|slowed nerve conduction velocities
sensory|sensory neuropathy
peripheral|peripheral sensory neuropathy
peripheral|peripheral axonal degeneration
abnormality|abnormality of the thorax
abnormality|abnormality of the sternum
pectus|pectus carinatum or pectus excavatum
pectus|pectus deformities
pectus|pectus deformity
pectus|pectus excavatum or carinatum
pectus|pectus excavatum or pectus carinatum
pectus|pectus excavatum/carinatum
sternal|sternal anomalies
pectus|pectus excavatum
funnel|funnel chest
pectus|pectus carinatum
abnormality|abnormality of the breast
gynecomastia|gynecomastia
gynaecomastia|gynaecomastia
abnormality|abnormality of the ribs
rib|rib abnormalities
rib|rib anomalies
short|short ribs
hypoplastic|hypoplastic ribs
rib|rib hypoplasia
narrow|narrow chest
low|low chest circumference
narrow|narrow shoulders
narrow|narrow thorax
reduced|reduced anterior-posterior chest diameter
abnormality|abnormality of the diaphragm
diaphragmatic|diaphragmatic defect
congenital|congenital diaphragmatic hernia
diaphragmatic|diaphragmatic hernia
abnormality|abnormality of the thymus
thymic|thymic hypoplasia
hypoplasia|hypoplasia of the thymus
thymus|thymus hypoplasia
abnormality|abnormality of the scapula
primary|primary amenorrhea
nephrolithiasis|nephrolithiasis
kidney|kidney stones
renal|renal calculi
renal|renal stones
infertility|infertility
hematuria|hematuria
uric|uric acid nephrolithiasis
uric|uric acid urolithiasis
kidney|kidney malformation
renal|renal malformation
structural|structural kidney abnormalities
structural|structural renal anomalies
membranoproliferative|membranoproliferative glomerulonephritis
